timestamp_iso,status_code,latency_ms,error
2026-09-12T03:43:04.482075+00:00,201,105.61,
2026-09-12T03:43:04.502506+00:00,201,98.45,
2026-09-12T03:43:04.522596+00:00,201,89.47,
2026-09-12T03:43:04.542509+00:00,201,71.67,
2026-09-12T03:43:04.581439+00:00,201,45.37,
2026-09-12T03:43:04.562732+00:00,201,67.93,
2026-09-12T03:43:04.602691+00:00,201,57.49,
2026-09-12T03:43:04.621966+00:00,201,51.45,
2026-09-12T03:43:04.642240+00:00,201,43.72,
2026-09-12T03:43:04.682991+00:00,201,45.56,
2026-09-12T03:43:04.662716+00:00,201,66.16,
2026-09-12T03:43:04.701990+00:00,201,45.67,
2026-09-12T03:43:04.742936+00:00,201,47.44,
2026-09-12T03:43:04.722558+00:00,201,68.32,
2026-09-12T03:43:04.762039+00:00,201,40.88,
2026-09-12T03:43:04.781777+00:00,201,44.56,
2026-09-12T03:43:04.803072+00:00,201,34.67,
2026-09-12T03:43:04.822797+00:00,201,34.35,
2026-09-12T03:43:04.841635+00:00,201,32.8,
2026-09-12T03:43:04.862976+00:00,201,64.31,
2026-09-12T03:43:04.902666+00:00,201,35.65,
2026-09-12T03:43:04.881811+00:00,201,59.29,
2026-09-12T03:43:04.923505+00:00,201,35.53,
2026-09-12T03:43:04.941585+00:00,201,32.07,
2026-09-12T03:43:04.962010+00:00,201,30.25,
2026-09-12T03:43:04.982391+00:00,201,36.56,
2026-09-12T03:43:05.002775+00:00,201,31.31,
2026-09-12T03:43:05.022832+00:00,201,39.86,
2026-09-12T03:43:05.042761+00:00,201,31.58,
2026-09-12T03:43:05.063126+00:00,201,51.55,
2026-09-12T03:43:05.081785+00:00,201,33.68,
2026-09-12T03:43:05.102543+00:00,201,30.97,
2026-09-12T03:43:05.122734+00:00,201,35.87,
2026-09-12T03:43:05.141609+00:00,201,31.86,
2026-09-12T03:43:05.162003+00:00,201,30.79,
2026-09-12T03:43:05.182012+00:00,201,46.16,
2026-09-12T03:43:05.202836+00:00,201,34.86,
2026-09-12T03:43:05.222564+00:00,201,34.26,
2026-09-12T03:43:05.242569+00:00,201,32.54,
2026-09-12T03:43:05.263130+00:00,201,29.49,
2026-09-12T03:43:05.281737+00:00,201,34.51,
2026-09-12T03:43:05.302027+00:00,201,30.85,
2026-09-12T03:43:05.322429+00:00,201,38.61,
2026-09-12T03:43:05.342889+00:00,201,31.25,
2026-09-12T03:43:05.361686+00:00,201,33.58,
2026-09-12T03:43:05.402538+00:00,201,46.2,
2026-09-12T03:43:05.381980+00:00,201,67.68,
2026-09-12T03:43:05.423468+00:00,201,37.31,
2026-09-12T03:43:05.441982+00:00,201,34.04,
2026-09-12T03:43:05.463035+00:00,201,34.13,
2026-09-12T03:43:05.483098+00:00,201,31.74,
