timestamp_iso,status_code,latency_ms,error
2026-09-12T03:52:59.931873+00:00,201,53.35,
2026-09-12T03:52:59.942561+00:00,201,73.27,
2026-09-12T03:52:59.920730+00:00,201,102.08,
2026-09-12T03:52:59.975286+00:00,201,59.81,
2026-09-12T03:52:59.952363+00:00,201,96.79,
2026-09-12T03:53:00.008099+00:00,201,59.54,
2026-09-12T03:52:59.986019+00:00,201,83.9,
2026-09-12T03:52:59.964277+00:00,201,107.41,
2026-09-12T03:52:59.996829+00:00,201,80.26,
2026-09-12T03:53:00.020326+00:00,201,61.8,
2026-09-12T03:53:00.030137+00:00,201,57.81,
2026-09-12T03:53:00.041244+00:00,201,57.41,
2026-09-12T03:53:00.064614+00:00,201,47.46,
2026-09-12T03:53:00.053633+00:00,201,61.19,
2026-09-12T03:53:00.075535+00:00,201,44.96,
2026-09-12T03:53:00.086502+00:00,201,42.34,
2026-09-12T03:53:00.097454+00:00,201,40.83,
2026-09-12T03:53:00.118971+00:00,201,38.41,
2026-09-12T03:53:00.108185+00:00,201,58.44,
2026-09-12T03:53:00.131401+00:00,201,39.66,
2026-09-12T03:53:00.142362+00:00,201,39.71,
2026-09-12T03:53:00.163852+00:00,201,36.34,
2026-09-12T03:53:00.153287+00:00,201,57.58,
2026-09-12T03:53:00.174834+00:00,201,53.73,
2026-09-12T03:53:00.196894+00:00,201,40.06,
2026-09-12T03:53:00.185733+00:00,201,58.98,
2026-09-12T03:53:00.208038+00:00,201,42.57,
2026-09-12T03:53:00.219078+00:00,201,41.9,
2026-09-12T03:53:00.230163+00:00,201,40.25,
2026-09-12T03:53:00.241202+00:00,201,47.27,
2026-09-12T03:53:00.253738+00:00,201,37.4,
2026-09-12T03:53:00.264873+00:00,201,34.97,
2026-09-12T03:53:00.287015+00:00,201,34.61,
2026-09-12T03:53:00.298212+00:00,201,36.61,
2026-09-12T03:53:00.275960+00:00,201,62.06,
2026-09-12T03:53:00.309135+00:00,201,38.59,
2026-09-12T03:53:00.320085+00:00,201,50.34,
2026-09-12T03:53:00.330971+00:00,201,39.59,
2026-09-12T03:53:00.341991+00:00,201,39.29,
2026-09-12T03:53:00.353156+00:00,201,37.01,
2026-09-12T03:53:00.364214+00:00,201,35.62,
2026-09-12T03:53:00.375308+00:00,201,59.87,
2026-09-12T03:53:00.397195+00:00,201,39.12,
2026-09-12T03:53:00.386285+00:00,201,64.95,
2026-09-12T03:53:00.419258+00:00,201,40.24,
2026-09-12T03:53:00.408243+00:00,201,57.19,
2026-09-12T03:53:00.430261+00:00,201,41.71,
2026-09-12T03:53:00.441508+00:00,201,38.12,
2026-09-12T03:53:00.463669+00:00,201,33.73,
2026-09-12T03:53:00.452772+00:00,201,56.6,
2026-09-12T03:53:00.486916+00:00,201,38.19,
2026-09-12T03:53:00.474519+00:00,201,53.92,
2026-09-12T03:53:00.497595+00:00,201,37.36,
2026-09-12T03:53:00.508681+00:00,201,40.14,
2026-09-12T03:53:00.519595+00:00,201,39.1,
2026-09-12T03:53:00.530725+00:00,201,40.2,
2026-09-12T03:53:00.541332+00:00,201,40.97,
2026-09-12T03:53:00.553764+00:00,201,41.45,
2026-09-12T03:53:00.563573+00:00,201,41.66,
2026-09-12T03:53:00.574762+00:00,201,39.31,
2026-09-12T03:53:00.585974+00:00,201,42.16,
2026-09-12T03:53:00.597048+00:00,201,38.29,
2026-09-12T03:53:00.608286+00:00,201,38.22,
2026-09-12T03:53:00.619548+00:00,201,36.7,
2026-09-12T03:53:00.641763+00:00,201,34.98,
2026-09-12T03:53:00.630676+00:00,201,53.32,
2026-09-12T03:53:00.652865+00:00,201,37.56,
2026-09-12T03:53:00.663967+00:00,201,38.86,
2026-09-12T03:53:00.675084+00:00,201,41.63,
2026-09-12T03:53:00.685887+00:00,201,45.77,
2026-09-12T03:53:00.697030+00:00,201,51.13,
2026-09-12T03:53:00.708238+00:00,201,47.62,
2026-09-12T03:53:00.719984+00:00,201,44.81,
2026-09-12T03:53:00.730859+00:00,201,44.06,
2026-09-12T03:53:00.741971+00:00,201,41.4,
2026-09-12T03:53:00.764611+00:00,201,39.98,
2026-09-12T03:53:00.753178+00:00,201,67.07,
2026-09-12T03:53:00.775809+00:00,201,46.25,
2026-09-12T03:53:00.797638+00:00,201,52.27,
2026-09-12T03:53:00.786750+00:00,201,74.67,
2026-09-12T03:53:00.808845+00:00,201,54.18,
2026-09-12T03:53:00.820217+00:00,201,57.83,
2026-09-12T03:53:00.830875+00:00,201,83.69,
2026-09-12T03:53:00.841398+00:00,201,73.91,
2026-09-12T03:53:00.852781+00:00,201,67.2,
2026-09-12T03:53:00.863445+00:00,201,65.12,
2026-09-12T03:53:00.875478+00:00,201,74.25,
2026-09-12T03:53:00.886741+00:00,201,79.72,
2026-09-12T03:53:00.897126+00:00,201,77.29,
2026-09-12T03:53:00.908056+00:00,201,72.91,
2026-09-12T03:53:00.919186+00:00,201,71.74,
2026-09-12T03:53:00.930040+00:00,201,64.5,
2026-09-12T03:53:00.941563+00:00,201,63.15,
2026-09-12T03:53:00.952991+00:00,201,59.0,
2026-09-12T03:53:00.964184+00:00,201,55.09,
2026-09-12T03:53:00.986026+00:00,201,47.13,
2026-09-12T03:53:00.974836+00:00,201,65.3,
2026-09-12T03:53:00.996854+00:00,201,47.44,
2026-09-12T03:53:01.009158+00:00,201,45.69,
2026-09-12T03:53:01.018862+00:00,201,46.43,
2026-09-12T03:53:01.031237+00:00,201,44.19,
2026-09-12T03:53:01.042206+00:00,201,41.82,
2026-09-12T03:53:01.053282+00:00,201,43.46,
2026-09-12T03:53:01.064330+00:00,201,41.18,
2026-09-12T03:53:01.075186+00:00,201,40.07,
2026-09-12T03:53:01.097283+00:00,201,39.9,
2026-09-12T03:53:01.086405+00:00,201,57.78,
2026-09-12T03:53:01.109040+00:00,201,40.34,
2026-09-12T03:53:01.119916+00:00,201,41.96,
2026-09-12T03:53:01.130939+00:00,201,40.71,
2026-09-12T03:53:01.141517+00:00,201,39.94,
2026-09-12T03:53:01.153135+00:00,201,37.1,
2026-09-12T03:53:01.164033+00:00,201,60.16,
2026-09-12T03:53:01.186091+00:00,201,39.46,
2026-09-12T03:53:01.175011+00:00,201,63.35,
2026-09-12T03:53:01.197051+00:00,201,42.98,
2026-09-12T03:53:01.208095+00:00,201,42.6,
2026-09-12T03:53:01.219211+00:00,201,40.82,
2026-09-12T03:53:01.230141+00:00,201,39.15,
2026-09-12T03:53:01.242478+00:00,201,38.12,
2026-09-12T03:53:01.263872+00:00,201,48.43,
2026-09-12T03:53:01.253467+00:00,201,68.2,
2026-09-12T03:53:01.274965+00:00,201,50.42,
2026-09-12T03:53:01.285620+00:00,201,53.01,
2026-09-12T03:53:01.297524+00:00,201,55.22,
2026-09-12T03:53:01.308233+00:00,201,56.67,
2026-09-12T03:53:01.319887+00:00,201,53.89,
2026-09-12T03:53:01.330693+00:00,201,55.77,
2026-09-12T03:53:01.342685+00:00,201,54.32,
2026-09-12T03:53:01.363476+00:00,201,52.03,
2026-09-12T03:53:01.353140+00:00,201,63.31,
2026-09-12T03:53:01.374630+00:00,201,49.23,
2026-09-12T03:53:01.386247+00:00,201,50.69,
2026-09-12T03:53:01.397279+00:00,201,46.72,
2026-09-12T03:53:01.408174+00:00,201,44.0,
2026-09-12T03:53:01.419045+00:00,201,43.66,
2026-09-12T03:53:01.430159+00:00,201,39.16,
2026-09-12T03:53:01.464644+00:00,201,37.51,
2026-09-12T03:53:01.441212+00:00,201,64.84,
2026-09-12T03:53:01.452220+00:00,201,66.39,
2026-09-12T03:53:01.475890+00:00,201,54.68,
2026-09-12T03:53:01.497897+00:00,201,42.48,
2026-09-12T03:53:01.486882+00:00,201,63.99,
2026-09-12T03:53:01.509139+00:00,201,42.07,
2026-09-12T03:53:01.520459+00:00,201,41.12,
2026-09-12T03:53:01.530718+00:00,201,43.25,
