timestamp_iso,status_code,latency_ms,error
2026-09-12T03:19:43.989858+00:00,201,105.09,
2026-09-12T03:19:44.041047+00:00,201,67.94,
2026-09-12T03:19:44.091179+00:00,201,58.86,
2026-09-12T03:19:44.139569+00:00,201,75.06,
2026-09-12T03:19:44.189456+00:00,201,50.53,
2026-09-12T03:19:44.240110+00:00,201,81.46,
2026-09-12T03:19:44.289675+00:00,201,45.7,
2026-09-12T03:19:44.339705+00:00,201,63.69,
2026-09-12T03:19:44.389526+00:00,201,51.64,
2026-09-12T03:19:44.440496+00:00,201,60.57,
2026-09-12T03:19:44.489926+00:00,201,82.15,
2026-09-12T03:19:44.540071+00:00,201,49.27,
2026-09-12T03:19:44.589924+00:00,201,81.95,
2026-09-12T03:19:44.640156+00:00,201,62.34,
2026-09-12T03:19:44.691109+00:00,201,83.63,
2026-09-12T03:19:44.740420+00:00,201,50.37,
2026-09-12T03:19:44.790771+00:00,201,74.24,
2026-09-12T03:19:44.839457+00:00,201,40.55,
2026-09-12T03:19:44.890541+00:00,201,53.5,
2026-09-12T03:19:44.940533+00:00,201,66.3,
2026-09-12T03:19:44.991206+00:00,201,61.95,
2026-09-12T03:19:45.040213+00:00,201,79.03,
2026-09-12T03:19:45.090105+00:00,201,86.83,
2026-09-12T03:19:45.139499+00:00,201,73.23,
2026-09-12T03:19:45.190168+00:00,201,69.93,
2026-09-12T03:19:45.239860+00:00,201,39.69,
2026-09-12T03:19:45.290706+00:00,201,79.1,
2026-09-12T03:19:45.339854+00:00,201,44.99,
2026-09-12T03:19:45.390185+00:00,201,72.62,
2026-09-12T03:19:45.440329+00:00,201,46.27,
2026-09-12T03:19:45.490143+00:00,201,64.5,
2026-09-12T03:19:45.539772+00:00,201,77.41,
2026-09-12T03:19:45.590569+00:00,201,56.0,
2026-09-12T03:19:45.640480+00:00,201,77.05,
2026-09-12T03:19:45.690050+00:00,201,41.87,
2026-09-12T03:19:45.739843+00:00,201,68.36,
2026-09-12T03:19:45.789822+00:00,201,81.89,
2026-09-12T03:19:45.840779+00:00,201,70.94,
2026-09-12T03:19:45.890524+00:00,201,49.72,
2026-09-12T03:19:45.939789+00:00,201,87.84,
2026-09-12T03:19:45.990619+00:00,201,62.52,
2026-09-12T03:19:46.040256+00:00,201,78.76,
2026-09-12T03:19:46.090752+00:00,201,53.76,
2026-09-12T03:19:46.140001+00:00,201,61.93,
2026-09-12T03:19:46.190171+00:00,201,42.62,
2026-09-12T03:19:46.239936+00:00,201,78.71,
2026-09-12T03:19:46.289968+00:00,201,43.57,
2026-09-12T03:19:46.340438+00:00,201,71.02,
2026-09-12T03:19:46.390261+00:00,201,42.91,
2026-09-12T03:19:46.440378+00:00,201,80.26,
2026-09-12T03:19:46.490607+00:00,201,54.04,
2026-09-12T03:19:46.539484+00:00,201,87.02,
2026-09-12T03:19:46.589432+00:00,201,69.41,
2026-09-12T03:19:46.640929+00:00,201,73.45,
2026-09-12T03:19:46.690641+00:00,201,68.79,
